source,target,weight,rating
6,2,0.725,4.5
6,5,0.625,2.5
6,4,0.675,3.5
6,7,0.7,4.0
6,114,0.6,2.0
6,32,0.55,1.0
6,173,0.65,3.0
6,258,0.55,1.0
6,268,0.65,3.0
6,219,0.65,3.0
6,198,0.6,2.0
6,35,0.65,3.0
6,664,0.575,1.5
6,937,0.575,1.5
6,384,0.8,6.0
6,521,0.575,1.5
6,280,0.55,1.0
6,687,0.55,1.0
6,1386,0.7,4.0
6,537,0.75,5.0
6,1317,0.675,3.5
6,1566,0.55,1.0
6,2034,0.55,1.0
6,2455,0.55,1.0
6,1383,0.0,-10.0
6,1810,0.625,2.5
6,2028,0.575,1.5
6,1363,0.775,5.5
6,10,0.75,5.0
6,1,0.9,8.0
6,1018,0.575,1.5
6,1832,0.55,1.0
6,1624,0.65,3.0
6,550,0.55,1.0
6,1331,0.0,-10.0
6,2642,0.7,4.0
6,856,0.825,6.5
6,2188,0.95,9.0
6,2187,0.675,3.5
6,1752,0.75,5.0
6,13,0.45,-1.0
6,77,0.65,3.0
6,96,0.0,-10.0
6,135,0.55,1.0
6,149,0.8,6.0
6,425,0.25,-5.0
6,1318,0.0,-10.0
6,1352,0.0,-10.0
6,2067,0.45,-1.0
6,2244,0.55,1.0
6,2524,0.55,1.0
6,3129,0.55,1.0
6,3810,0.55,1.0
6,3988,0.45,-1.0
6,4385,0.4,-2.0
2,21,0.75,5.0
2,20,0.75,5.0
2,4,0.775,5.5
2,54,0.6,2.0
2,132,0.6,2.0
2,3,0.9,8.0
2,142,0.55,1.0
2,110,0.55,1.0
2,149,0.55,1.0
2,166,0.55,1.0
2,156,0.55,1.0
2,1,0.9,8.0
2,7,0.75,5.0
2,60,0.75,5.0
2,62,0.9,8.0
2,77,0.6,2.0
2,198,0.825,6.5
2,455,0.55,1.0
2,401,0.675,3.5
2,632,0.55,1.0
2,658,0.55,1.0
2,516,0.55,1.0
2,651,0.6,2.0
2,758,0.55,1.0
2,744,0.55,1.0
2,634,0.55,1.0
2,732,0.6,2.0
2,13,0.575,1.5
2,779,0.575,1.5
2,654,0.65,3.0
2,202,0.65,3.0
2,832,0.325,-3.5
2,204,0.45,-1.0
2,1363,0.9,8.0
2,167,0.9,8.0
2,39,0.9,8.0
2,223,0.9,8.0
2,245,0.9,8.0
2,178,0.65,3.0
2,23,0.75,5.0
2,135,0.575,1.5
2,3397,0.75,5.0
2,41,0.6,2.0
2,5929,0.9,8.0
2,10,0.85,7.0
2,61,0.6,2.0
2,115,0.65,3.0
2,146,0.55,1.0
2,523,0.6,2.0
2,3722,0.4,-2.0
2,4590,0.55,1.0
2,5606,0.65,3.0
5,1,0.675,3.5
5,7,0.55,1.0
1,15,0.55,1.0
1,32,0.55,1.0
1,34,0.55,1.0
1,17,0.95,9.0
1,31,0.625,2.5
1,13,0.775,5.5
1,20,0.6,2.0
1,54,0.55,1.0
1,56,0.6,2.0
1,71,0.725,4.5
1,74,0.55,1.0
1,78,0.55,1.0
1,68,0.6,2.0
1,81,0.55,1.0
1,101,0.55,1.0
1,119,0.775,5.5
1,76,0.6,2.0
1,23,0.825,6.5
1,138,0.55,1.0
1,110,0.55,1.0
1,145,0.55,1.0
1,114,0.6,2.0
1,111,0.575,1.5
1,7,0.9,8.0
1,165,0.55,1.0
1,19,0.875,7.5
1,223,0.85,7.0
1,225,0.55,1.0
1,132,0.775,5.5
1,227,0.55,1.0
1,104,0.575,1.5
1,64,0.65,3.0
1,245,0.55,1.0
1,247,0.55,1.0
1,234,0.55,1.0
1,251,0.675,3.5
1,260,0.55,1.0
1,261,0.55,1.0
1,109,0.55,1.0
1,271,0.55,1.0
1,274,0.55,1.0
1,141,0.575,1.5
1,296,0.55,1.0
1,180,0.55,1.0
1,311,0.55,1.0
1,312,0.55,1.0
1,139,0.6,2.0
1,324,0.55,1.0
1,356,0.55,1.0
1,51,0.55,1.0
1,384,0.55,1.0
1,399,0.55,1.0
1,438,0.55,1.0
1,442,0.55,1.0
1,144,0.75,5.0
1,219,0.825,6.5
1,47,0.625,2.5
1,320,0.65,3.0
1,464,0.55,1.0
1,431,0.55,1.0
1,486,0.775,5.5
1,416,0.55,1.0
1,505,0.55,1.0
1,421,0.6,2.0
1,80,0.6,2.0
1,29,0.7,4.0
1,511,0.55,1.0
1,494,0.55,1.0
1,534,0.75,5.0
1,537,0.55,1.0
1,563,0.55,1.0
1,567,0.55,1.0
1,569,0.55,1.0
1,215,0.55,1.0
1,579,0.575,1.5
1,61,0.75,5.0
1,266,0.575,1.5
1,21,0.85,7.0
1,630,0.6,2.0
1,677,0.55,1.0
1,695,0.55,1.0
1,672,0.25,-5.0
1,773,0.55,1.0
1,647,0.6,2.0
1,396,0.7,4.0
1,353,0.875,7.5
1,9,0.8,6.0
1,779,0.55,1.0
1,545,0.55,1.0
1,1134,0.55,1.0
1,3,0.8,6.0
1,8,0.75,5.0
1,197,0.9,8.0
1,60,0.875,7.5
1,41,0.9,8.0
1,39,0.9,8.0
1,33,0.875,7.5
1,10,0.875,7.5
1,270,0.75,5.0
1,539,0.55,1.0
1,522,0.6,2.0
1,882,0.65,3.0
1,861,0.55,1.0
1,1369,0.6,2.0
1,1010,0.6,2.0
1,309,0.675,3.5
1,1447,0.55,1.0
1,1541,0.6,2.0
1,1557,0.55,1.0
1,1386,0.825,6.5
1,134,0.6,2.0
1,350,0.55,1.0
1,1353,0.675,3.5
1,178,0.875,7.5
1,592,0.65,3.0
1,57,0.825,6.5
1,1555,0.55,1.0
1,36,0.675,3.5
1,1727,0.55,1.0
1,1352,0.825,6.5
1,1487,0.6,2.0
1,120,0.65,3.0
1,1749,0.55,1.0
1,1693,0.575,1.5
1,1245,0.55,1.0
1,1281,0.55,1.0
1,304,0.6,2.0
1,1802,0.55,1.0
1,823,0.825,6.5
1,540,0.775,5.5
1,1714,0.625,2.5
1,1316,0.8,6.0
1,1860,0.775,5.5
1,1053,0.575,1.5
1,1753,0.3,-4.0
1,1201,0.95,9.0
1,1366,0.825,6.5
1,1944,0.6,2.0
1,1363,0.8,6.0
1,1921,0.55,1.0
1,1701,0.75,5.0
1,1317,0.8,6.0
1,1656,0.875,7.5
1,1899,0.55,1.0
1,2046,0.625,2.5
1,2123,0.65,3.0
1,2124,0.675,3.5
1,1771,0.3,-4.0
1,2142,0.65,3.0
1,2096,0.0,-10.0
1,2322,0.6,2.0
1,729,0.6,2.0
1,2341,0.55,1.0
1,1585,0.775,5.5
1,4,1.0,10.0
1,171,0.6,2.0
1,143,0.75,5.0
1,492,0.55,1.0
1,2455,0.55,1.0
1,635,0.6,2.0
1,2410,0.0,-10.0
1,2471,0.0,-10.0
1,2034,0.55,1.0
1,2484,0.55,1.0
1,2761,0.55,1.0
1,125,0.675,3.5
1,1815,0.6,2.0
1,1217,0.55,1.0
1,3417,0.575,1.5
1,330,0.75,5.0
1,1620,0.725,4.5
1,308,0.65,3.0
1,3719,0.55,1.0
