Node_ID,Community_ID
6,10
2,10
5,10
1,10
15,10
4,10
3,10
13,1
16,1
10,10
7,10
21,10
20,10
8,10
17,10
23,10
25,1
26,10
28,10
29,10
31,10
32,10
34,10
35,3
36,4
37,10
44,10
39,10
45,10
19,10
46,4
47,10
51,169
52,10
53,10
54,10
41,10
55,10
57,169
61,10
65,3
56,10
66,10
69,10
70,3
71,10
72,10
74,10
75,10
68,10
64,10
76,10
77,10
78,10
60,10
79,3
80,10
81,10
62,10
83,10
104,10
86,10
87,10
89,10
94,10
95,3
96,169
97,10
99,10
88,10
101,10
100,10
103,10
105,10
106,169
107,10
108,10
109,10
110,10
111,10
112,10
115,4
114,10
119,10
122,10
127,10
129,10
116,10
131,10
132,10
133,10
113,10
125,10
135,10
134,10
137,10
138,10
140,10
141,10
139,10
142,10
143,10
144,10
145,10
146,27
147,10
148,10
93,10
149,10
150,10
152,10
153,10
154,10
155,10
156,10
157,10
158,10
160,169
161,10
162,10
163,10
165,10
166,10
167,10
168,10
169,10
170,10
171,10
172,10
173,10
174,1
175,10
176,10
177,10
178,10
179,10
180,10
181,10
159,10
182,10
183,10
184,1
185,10
186,10
187,10
33,169
188,7
189,10
190,10
191,10
192,10
193,10
194,10
195,10
196,10
198,10
199,10
200,10
201,10
202,10
203,10
204,10
205,10
206,10
207,10
209,10
210,10
120,10
211,10
212,10
213,10
214,10
215,10
216,10
217,10
218,10
219,10
220,10
223,10
224,10
225,1
227,10
228,10
230,7
231,10
232,10
233,10
208,10
234,10
235,10
222,10
236,10
237,10
238,10
239,10
240,10
241,10
242,7
244,10
164,10
245,10
246,10
247,10
248,10
250,10
251,10
249,10
243,10
252,10
253,3
255,25
256,10
257,10
258,10
259,10
260,10
261,10
262,10
263,10
264,10
265,10
266,10
267,3
268,10
229,10
221,10
269,10
271,10
272,10
273,10
274,10
275,10
276,10
270,10
277,10
279,10
278,10
280,169
281,169
282,10
283,10
284,10
285,10
286,10
287,10
288,10
290,10
291,10
292,10
293,10
294,10
295,10
296,10
297,10
298,10
299,10
301,10
302,10
303,10
304,1
254,10
305,10
306,10
307,10
308,10
309,1
310,10
311,10
312,10
314,10
313,10
315,10
316,10
317,10
318,10
319,10
320,10
322,10
323,10
324,10
325,10
326,10
321,10
327,10
328,27
329,10
334,10
338,10
345,10
346,3
289,10
347,10
349,10
340,10
336,10
350,10
352,10
353,1
354,10
355,10
356,10
357,10
359,1
339,10
360,10
366,10
367,10
368,10
358,10
370,10
371,3
372,10
363,1
375,10
377,10
374,3
378,10
379,10
380,10
382,1
383,10
384,10
385,10
386,10
348,10
387,10
388,10
389,10
390,10
391,10
392,10
330,10
351,10
393,10
342,25
395,25
396,10
397,10
399,10
400,10
401,10
402,10
403,10
404,10
405,10
406,10
407,1
408,10
409,10
410,10
411,10
412,10
414,10
415,3
418,10
300,10
421,10
423,10
333,10
341,10
427,10
428,10
429,10
332,10
394,10
430,10
432,10
433,10
434,10
435,10
436,3
437,10
438,3
439,10
441,10
442,10
443,10
440,10
444,10
445,10
446,1
365,10
448,7
449,10
431,10
450,1
451,169
452,10
453,10
454,10
455,10
456,10
457,10
416,10
458,3
459,10
460,10
464,3
465,1
466,10
467,10
468,10
463,10
469,1
462,10
470,10
471,10
472,10
473,10
369,10
425,1
417,10
475,10
476,10
197,10
477,10
478,10
424,10
479,10
376,10
373,10
420,10
480,10
398,3
481,169
482,10
483,10
484,10
485,1
486,169
487,10
488,10
489,10
490,10
492,10
493,1
494,10
447,10
495,10
496,10
497,10
499,10
500,4
501,10
502,10
491,10
503,10
504,1
505,10
506,11
498,12
507,1
331,10
508,10
509,13
510,13
511,10
512,13
513,13
514,10
515,10
516,10
517,10
422,10
518,10
337,10
519,10
520,10
381,10
521,10
362,10
522,10
523,10
524,1
364,10
413,10
525,10
361,169
526,10
527,10
529,10
530,10
531,10
532,10
533,10
534,10
535,10
536,11
537,1
538,10
539,1
540,1
541,10
419,10
542,10
335,10
543,10
544,1
545,4
546,1
547,10
548,10
549,3
426,10
550,1
552,3
553,7
554,10
555,10
556,14
557,10
558,10
559,10
560,10
561,10
562,10
563,15
564,15
565,10
566,10
551,10
567,10
569,10
570,15
571,15
572,3
573,15
575,10
474,10
577,10
578,10
528,3
580,10
581,10
582,10
583,10
584,10
585,10
586,1
587,1
589,10
590,169
592,1
579,10
343,10
594,1
595,10
596,10
597,4
588,1
598,15
599,15
600,10
601,10
602,10
603,10
604,15
591,1
605,10
606,10
607,10
608,10
609,15
610,10
611,10
612,1
613,10
614,15
615,1
617,10
618,10
619,1
620,1
621,10
622,10
623,10
616,10
593,10
624,169
625,169
626,10
628,10
629,10
630,10
631,10
627,3
632,10
633,10
634,10
635,1
636,1
637,1
638,10
639,10
344,10
642,10
643,10
644,10
647,10
648,10
649,10
650,10
651,10
652,10
653,10
654,10
655,10
656,10
658,10
660,3
661,10
662,10
663,10
664,1
574,15
659,1
665,10
666,10
667,10
668,10
670,10
671,10
672,10
674,10
675,10
676,10
677,10
678,3
679,3
680,10
681,10
682,10
669,10
684,10
685,10
686,10
687,10
688,10
689,10
690,10
691,10
692,10
693,10
694,3
695,10
696,10
683,15
646,15
698,10
697,10
699,10
700,7
701,10
702,10
703,10
641,15
705,1
706,10
708,10
707,15
704,10
709,10
710,10
711,1
712,10
714,10
717,3
718,10
719,4
720,1
721,10
722,1
723,1
724,10
725,10
726,10
727,10
640,169
728,10
730,10
729,1
715,15
731,1
732,10
733,10
734,10
735,10
736,1
737,10
738,10
673,15
716,15
739,10
740,15
741,10
742,10
743,10
744,10
745,10
746,10
747,10
748,10
749,10
750,10
751,10
576,10
752,7
753,10
754,3
755,10
756,10
757,10
758,10
759,10
761,15
763,10
657,15
764,10
765,1
766,10
767,10
768,10
769,10
770,10
772,10
773,10
774,10
775,12
776,10
777,10
760,10
778,10
779,10
780,10
781,10
782,10
783,10
784,10
785,10
786,1
787,10
788,10
789,10
790,10
791,7
792,7
793,10
794,10
795,10
796,10
797,10
798,10
799,10
800,10
801,11
802,10
803,10
804,10
805,10
806,10
808,10
762,15
809,10
810,10
811,10
812,10
813,10
814,10
815,10
816,15
817,10
818,10
819,10
820,10
821,10
823,1
9,10
824,11
826,11
827,11
828,4
829,10
830,10
831,10
833,10
834,10
835,10
836,3
837,10
838,3
839,10
840,10
832,10
841,10
842,10
843,10
844,12
845,10
846,10
847,10
848,10
849,10
850,10
851,10
852,10
853,10
854,10
855,10
856,7
857,10
858,7
859,10
860,10
861,1
862,10
863,1
864,10
771,10
865,10
866,10
867,10
868,10
869,1
870,1
871,10
872,10
873,10
874,10
875,10
876,10
877,10
878,10
879,10
880,10
883,10
882,10
884,10
886,10
887,1
888,10
890,1
891,10
892,10
893,10
822,10
894,10
895,10
896,10
897,10
898,11
899,12
900,10
901,10
902,10
903,10
904,10
906,10
907,10
908,10
910,10
911,10
912,10
913,1
909,10
914,10
915,10
916,10
917,10
918,10
919,10
920,10
921,10
922,10
924,10
925,10
926,10
927,10
928,10
929,169
930,10
931,3
933,10
934,10
936,10
937,1
885,10
938,10
923,10
939,10
940,3
942,3
943,10
944,10
946,10
947,11
889,10
941,10
948,10
949,10
950,3
951,10
952,10
954,10
932,10
955,10
956,10
957,10
959,10
960,10
961,1
963,10
964,10
966,10
967,10
968,10
935,10
965,10
969,11
825,10
970,1
971,10
972,3
973,3
974,10
975,10
976,3
977,10
953,10
978,10
979,10
980,10
981,3
982,3
983,3
984,7
985,10
986,10
987,3
988,3
989,10
990,10
991,10
993,15
994,10
995,12
905,1
996,10
997,12
999,10
1000,10
1001,10
1002,10
1003,10
1004,10
998,10
1006,10
1007,10
1008,10
1009,10
1010,10
1011,10
1012,10
1013,10
1015,11
1016,10
1017,10
807,10
1018,7
1019,10
1020,10
1021,10
1022,10
